VentaID,Fecha,Cliente,Producto,Categoria,Cantidad,PrecioUnitario,Total,Region,Vendedor
1029,2026-06-08,"Ferreteria Central","Camara Web HD",Tecnologia,3,130.00,390.00,Piura,"Ana Flores"
1030,2026-06-09,"Ferreteria Central","Archivador Metalico",Mobiliario,6,320.00,1920.00,Piura,"Maria Torres"
1031,2026-06-11,"Inversiones Costa Azul","Mouse Inalambrico",Tecnologia,1,45.00,45.00,Lima,"Ana Flores"
1032,2026-06-12,"Servicios Pacifico SAC","Monitor 24''",Tecnologia,2,780.00,1560.00,Cusco,"Lucia Mendoza"
1033,2026-06-13,"Comercial Andina SAC","Laptop 14''",Tecnologia,5,3200.00,16000.00,Trujillo,"Maria Torres"
1034,2026-06-15,"Corporacion Altiplano","Proyector HD",Tecnologia,4,2400.00,9600.00,Piura,"Lucia Mendoza"
1035,2026-06-16,"Ferreteria Central","Monitor 24''",Tecnologia,6,780.00,4680.00,Arequipa,"Lucia Mendoza"
1036,2026-06-18,"Ferreteria Central","Silla Ergonomica",Mobiliario,5,560.00,2800.00,Cusco,"Maria Torres"
1037,2026-06-19,"Distribuidora Norte EIRL","Proyector HD",Tecnologia,7,2400.00,16800.00,Trujillo,"Ana Flores"
1038,2026-06-20,"Ferreteria Central","Impresora Laser",Tecnologia,1,1150.00,1150.00,Chiclayo,"Maria Torres"
1039,2026-06-22,"Constructora Los Andes","Proyector HD",Tecnologia,4,2400.00,9600.00,Lima,"Ana Flores"
1040,2026-06-23,"Constructora Los Andes","Router WiFi6",Tecnologia,5,260.00,1300.00,Chiclayo,"Maria Torres"
1041,2026-06-25,"Comercial Andina SAC","Silla Ergonomica",Mobiliario,8,560.00,4480.00,Lima,"Jose Ramirez"
1042,2026-06-26,"Constructora Los Andes","Archivador Metalico",Mobiliario,4,320.00,1280.00,Arequipa,"Ana Flores"
1043,2026-06-27,"Distribuidora Norte EIRL","Escritorio L",Mobiliario,2,890.00,1780.00,Arequipa,"Ana Flores"
1044,2026-06-29,"Corporacion Altiplano","Escritorio L",Mobiliario,4,890.00,3560.00,Cusco,"Ana Flores"
1045,2026-06-30,"Grupo Sureste SA","Laptop 14''",Tecnologia,8,3200.00,25600.00,Cusco,"Maria Torres"
1046,2026-07-01,"Distribuidora Norte EIRL","Proyector HD",Tecnologia,7,2400.00,16800.00,Chiclayo,"Jose Ramirez"
1047,2026-07-03,"Corporacion Altiplano","Silla Ergonomica",Mobiliario,4,560.00,2240.00,Lima,"Maria Torres"
1048,2026-07-04,"Import Export Lima SAC","Monitor 24''",Tecnologia,7,780.00,5460.00,Chiclayo,"Carlos Vega"
1049,2026-07-06,"Textiles Del Valle","Camara Web HD",Tecnologia,8,130.00,1040.00,Chiclayo,"Carlos Vega"
1050,2026-07-07,"Distribuidora Norte EIRL","Laptop 14''",Tecnologia,1,3200.00,3200.00,Piura,"Lucia Mendoza"
1051,2026-07-09,"Distribuidora Norte EIRL","Monitor 24''",Tecnologia,7,780.00,5460.00,Arequipa,"Lucia Mendoza"
1052,2026-07-10,"Ferreteria Central","Archivador Metalico",Mobiliario,4,320.00,1280.00,Piura,"Jose Ramirez"
1053,2026-07-11,"Comercial Andina SAC","Monitor 24''",Tecnologia,7,780.00,5460.00,Cusco,"Carlos Vega"
1054,2026-07-13,"Ferreteria Central","Mouse Inalambrico",Tecnologia,3,45.00,135.00,Piura,"Lucia Mendoza"
1055,2026-07-14,"Constructora Los Andes","Proyector HD",Tecnologia,4,2400.00,9600.00,Arequipa,"Ana Flores"
1056,2026-07-16,"Corporacion Altiplano","Escritorio L",Mobiliario,3,890.00,2670.00,Trujillo,"Lucia Mendoza"
1057,2026-07-17,"Ferreteria Central","Laptop 14''",Tecnologia,6,3200.00,19200.00,Lima,"Carlos Vega"
1058,2026-07-18,"Distribuidora Norte EIRL","Camara Web HD",Tecnologia,5,130.00,650.00,Piura,"Lucia Mendoza"
1059,2026-07-20,"Constructora Los Andes","Archivador Metalico",Mobiliario,6,320.00,1920.00,Piura,"Lucia Mendoza"
1060,2026-07-21,"Comercial Andina SAC","Monitor 24''",Tecnologia,1,780.00,780.00,Trujillo,"Ana Flores"
